CourseID,InstructorID,Semesters
1,325,Fall 2024
1,321,"Fall 2024,Fall 2023,Fall 2022,Summer 2022,Fall 2021,Fall 2015,Fall 2014"
1,326,Fall 2023
1,328,Fall 2019
1,301,Fall 2016
2,323,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Spring 2021,Spring 2020,Spring 2019"
2,48,"Fall 2024,Fall 2023,Fall 2022,Fall 2021,Fall 2020,Fall 2019"
2,317,Spring 2024
2,321,"Spring 2023,Summer 2021,Summer 2020,Spring 2016,Spring 2015"
2,49,Spring 2022
2,329,"Fall 2019,Fall 2018,Fall 2017,Fall 2016,Spring 2016,Fall 2015"
2,328,"Fall 2018,Spring 2018,Fall 2017"
2,301,Fall 2017
2,302,"Spring 2016,Spring 2015,Spring 2014,Spring 2013,Spring 2012,Spring 2010"
2,326,"Fall 2015,Fall 2014,Fall 2013"
3,317,"Fall 2024,Fall 2023"
3,302,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Summer 2010,Spring 2010"
4,320,"Fall 2024,Fall 2023"
4,315,"Fall 2024,Spring 2024,Fall 2023"
4,326,Summer 2024
5,328,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022"
5,321,"Fall 2021,Spring 2021,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017"
5,320,"Fall 2019,Spring 2019"
5,326,Spring 2019
6,326,Spring 2019
7,322,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022"
7,327,Fall 2024
7,315,"Fall 2024,Summer 2024,Fall 2023"
7,328,"Fall 2024,Spring 2024,Fall 2023,Fall 2022,Summer 2019"
7,321,"Spring 2022,Spring 2021,Fall 2019,Spring 2017,Fall 2016,Spring 2016,Fall 2015,Spring 2015,Fall 2014"
7,320,Spring 2020
7,326,"Spring 2017,Spring 2016,Spring 2015"
7,329,Fall 2015
7,196,Fall 2013
7,198,"Fall 2012,Fall 2011"
8,324,"Fall 2024,Spring 2024,Fall 2023"
8,317,Fall 2024
8,318,Fall 2024
8,321,Spring 2024
8,326,"Fall 2022,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Fall 2018,Fall 2017,Fall 2016,Fall 2015,Fall 2014,Fall 2013,Spring 2013,Fall 2012,Fall 2011,Fall 2010"
