paperID,topicID
1,10023
1,10021
1,10017
1,10224
1,10107
1,10027
1,10026
1,10278
1,10108
1,10069
1,10068
1,10102
1,877
1,482
1,182
2,10108
2,10069
2,10068
2,10102
2,10084
2,10030
2,10244
2,182
2,1022
2,500
3,10012
3,10011
3,10010
3,10172
3,10088
3,10087
3,181
3,751
3,502
4,10022
4,10021
4,10017
4,10224
4,10277
4,1309
4,19
4,645
5,10022
5,10021
5,10017
5,10224
5,487
5,1240
5,1309
6,10022
6,10021
6,10017
6,10224
6,1309
6,19
6,504
7,10023
7,10021
7,10017
7,10224
7,972
7,812
7,381
8,10046
8,10021
8,10017
8,10224
8,10151
8,10018
8,10022
8,479
8,452
8,1240
9,10022
9,10021
9,10017
9,10224
9,10107
9,10027
9,10026
9,10278
9,487
9,1309
9,484
10,10022
10,10021
10,10017
10,10224
10,1309
10,487
10,19
11,10246
11,10229
11,10003
11,10249
11,566
11,597
11,550
12,10246
12,10229
12,10003
12,10249
12,566
12,559
12,550
13,10246
13,10229
13,10003
13,10249
13,597
13,10240
13,10283
14,10283
14,10229
14,10003
14,10249
14,10060
14,10031
14,10030
14,10244
14,690
14,1193
14,10263
15,10189
15,10156
15,10026
15,10278
15,567
15,10261
15,594
16,10246
16,10229
16,10003
16,10249
16,566
16,550
16,10249
17,10230
17,10229
17,10003
17,10249
17,10234
17,10233
17,10030
17,10244
17,10075
17,10069
17,10068
17,10102
17,790
17,513
17,805
18,10194
18,10047
18,10003
18,10249
18,10189
18,10156
18,10026
18,10278
18,10229
18,562
18,567
18,550
19,10283
19,10229
19,10003
19,10249
19,690
19,550
19,10263
20,10246
20,10229
20,10003
20,10249
20,10073
20,10233
20,10030
20,10244
20,537
20,10074
20,10295
21,10178
21,10104
21,10037
21,10163
21,10012
21,10011
21,10010
21,10172
21,755
21,327
21,328
22,10012
22,10011
22,10010
22,10172
22,10152
22,10119
22,10037
22,10163
22,328
22,699
22,404
23,10012
23,10011
23,10010
23,10172
23,10128
23,10058
23,10017
23,10224
23,717
23,716
23,328
24,10178
24,10104
24,10037
24,10163
24,10095
24,10058
24,10017
24,10224
24,327
24,755
24,161
25,10012
25,10011
25,10010
25,10172
25,10178
25,10104
25,10037
25,10163
25,328
25,327
25,755
26,10187
26,10011
26,10010
26,10172
26,10058
26,10017
26,10224
26,1052
26,1003
26,1160
27,10086
27,10068
27,10102
27,10012
27,10011
27,10010
27,10172
27,898
27,328
27,704
28,10178
28,10104
28,10037
28,10163
28,10012
28,10011
28,10010
28,10172
28,755
28,327
28,704
29,10162
29,10038
29,10037
29,10163
29,10178
29,10104
29,914
29,755
29,10162
30,10178
30,10104
