Id,Name,Description,Awards
1,Daniel Abebayehu,"Daniel Abebayehu | Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia.","National Institutes of Health Mosaic Postdoctoral Scholar 2022-2023, University of Virginia National Institutes of Health NRSA NHLBI Ruth L. Kirchstein F32 Postdoctoral Fellow (2017-2019), Virginia Commonwealth University Initiative for Maximizing Student Development (IMSD) Predoctoral Fellow (2015-2017), University of Virginia Biomedical Engineering Department 2023 “Best Mentor” Teaching Award awarded by UVA BMES | 2024 “Most Inclusive Professor” Teaching Award awarded by UVA BMES | 2024 “Best Advocate for Graduate Students” Award by UVA GBMES, Keystone Symposia Keystone Fellow (2025),"
2,Timothy Allen,"Timothy E. Allen | Timothy E. Allen teaches and mentors students in the areas of computational modeling of complex biological systems, molecular and cell biology assays, and medical device design. He is a Professor in the Department of Biomedical Engineering at the University of Virginia. He received a B.S.E. in Biomedical Engineering at Duke University and M.S. and Ph.D. degrees in Bioengineering at the University of California, San Diego.","Fellow, American Institute for Medical and Biological Engineering (AIMBE) 2024, BME Professor of the Year 2024, BME Professor of the Year 2023, All-University Teaching Award 2017, Faculty Banner Carrier for SEAS Class of 2017 at Final Exercises 2017, The Society of P.R.I. Recognition for Commitment to Students 2016, Jefferson Scholars Foundation Faculty Fellow 2014-PRESENT, Hartfield-Jefferson Teaching Prize 2014, Most Dedicated BME Professor Award 2011, Award for Excellence in Biomedical Engineering Undergraduate Education 2008, 2010, & 2011, Seven Society 20th Annual Monticello Dinner Series 2010, Thomas E. Hutchinson Faculty Award for Dedication and Excellence in Teaching 2009,"
3,Sameer Bajikar,"Sameer Bajikar | Sameer Bajikar, Ph.D., uses multidisciplinary techniques to study the biological processes that go awry in brain development in neurodevelopmental disorders, like autism spectrum disorders and intellectual disability. His group is developing novel human stem cell and genetically engineered mouse models to study a variety of neurodevelopmental disorders. By combining these models, high throughput molecular measurements, and computational systems biology, he hopes to identify key biological pathways that are involved in causing neurodevelopmental disorders. His lab will then use these biological pathways to engineer new treatments for this group of devastating disorders. He received both his undergraduate and graduate degrees in the department of Biomedical Engineering at the University of Virginia. His graduate work, under the mentorship of Dr. Kevin Janes, was supported by a Commonwealth Fellowship and Sture G. Olsson Fellowship from the University of Virginia and a National Science Foundation Graduate Research Fellowship. He then completed a postdoctoral fellowship in Molecular and Human Genetics under the mentorship of Dr. Huda Zoghbi at Baylor College Medicine. His postdoctoral fellowship was supported by an NRSA F32 fellowship from the National Institutes of Health / NICHD and a Zoghbi Scholar Award from Texas Children’s Hospital. As a Double ‘Hoo, Dr. Bajikar is excited to establish an exciting and vibrant research program in the Departments of Cell Biology and Biomedical Engineering at the University of Virginia starting in January 2024. The Bajikar lab is supported by an Independence Award from the International Rett Syndrome Foundation to study growth factor signaling in Rett syndrome, a several childhood neurological disorder. We are looking to recruit passionate and motivated students interested in understanding the underlying causes of neurodevelopmental disorders. Prospective trainees are encouraged to contact Dr. Bajikar at sbajikar@virginia.edu to learn about current opportunities.",
4,Thomas Barker,"Thomas H. Barker | Thomas Barker explores and therapeutically exploits the fundamental links between fibroblast adaptation to their physical and biochemical microenvironment and their myofibroblastic differentiation during tissue repair, fibrosis and cancer. Dr. Barker is a Professor in Biomedical Engineering in the Schools of Engineering and Medicine at the University of Virginia. He performed his academic and scientific training with Drs. James Hagood, Joanne Murphy-Ullrich, Helene Sage, and Jeffrey Hubbell prior to his first faculty post at Georgia Institute of Technology, where he spend 10 years as an Assistant and Associate Professor. Dr. Barker’s research integrates engineering and quantitative approaches with basic cell and molecular biology to understand and control cell phenotype through their interactions with natural and engineered extracellular matrices. Dr. Barker is also focused on understanding the fundamental roles of cell mechanotransduction and mechanical forces in regulating the biochemical activity of proteins in the extracellular matrix toward wound repair, regeneration, and fibrosis. Dr. Barker has established a number of fundamental systems based on rational mutagenesis, molecular evolution of extracellular matrix protein fragments and antibodies that allow both basic biochemical and cell biological studies on the ECM and detection and treatment of organ fibrosis. Dr. Barker has co-authored research and review papers in leading cell biology, matrix biology, and biomaterials journals, he received the NIH Director’s Transformative Research Award in 2015. Dr. Barker was also the recipient of the American Society for Matrix Biology’s Young Investigator Award in 2012 and Iozzo Award in 2016.","NASA Space Fellow, GSRP, Division of Physical and Biological Sciences, NASA HQ 2002, Ruth L. Kirschstein Postdoctoral Fellow, NIGMS 2004, Walter A. Rosenblith New Investigator Award, Health Effects Institute 2008, American Society for Matrix Biology, Young Investigator Award 2012, NIH Director’s Transformative Research Award 2015, American Society for Matrix Biology, Iozzo Award 2016, College of Fellows, American Institute of Medical and Biological Engineering 2017,"
5,Shannon Barker,"Shannon Barker | Shannon Barker, Ph.D., focuses on ensuring that the BME undergraduate program's educational objectives and learning outcomes, as well as its curriculum, reflect an innovative and highly effective learning environment that meets the needs of all of its students, as well as employers, graduate & professional schools, and accreditation bodies. She is an Associate Professor and Undergraduate Program Director in the Department of Biomedical Engineering. She received her Ph.D. in Biomedical Engineering from the University of Alabama at Birmingham under the advisement of Dr. David Curiel and completed two post-doctoral fellowships with Dr. Jeffrey Chamberlain at the University of Washington and Dr. Patrick Aebischer at the Ecole Polytechnique Federale de Lausanne.","2022 All-University Faculty Teaching Award UVA Office of the Provost, 2022 Hartfield Excellence in Teaching Award Jefferson Scholars Foundation,"
6,Bryan Berger,"Bryan Berger | Bryan received his BS in chemical engineering from the University of Illinois at Urbana-Champaign, and his PhD in chemical engineering from the University of Delaware. He was a post-doctoral fellow in the department of biochemistry & biophysics at the University of Pennsylvania School of Medicine. Currently Bryan is professor of chemical engineering with a joint appointment in biomedical engineering.","National Science Foundation CAREER Award 2015,"
7,Silvia Blemker,"Silvia Salinas Blemker | Silvia Blemker uses experimental and computational models to characterize the relationships between muscle structure, biomechanical properties, biology, and function in order to develop new treatments for musculoskeletal disease. She did her undergraduate and Master’s work in Biomedical Engineering at Northwestern University, and her PhD in Mechanical Engineering at Stanford University. She is broadly interested in muscle mechanics & physiology, multi-scale modeling, mentoring students, and teaching.","Fellow, National Academy of Inventors 2024, Goel Award for Translational Biomechanics, American Society of Biomechanics 2024, Fellow, American Society of Biomechanics 2021, Fellow, American Institute for Medical and Biological Engineering 2019,"
8,Philip Bourne,"Philip E. Bourne | Philip E. Bourne leads a range of initiatives to encourage and facilitate the use of big data in large-scale research across the scientific and technological disciplines, with special emphasis on structural bioinformatics and systems pharmacology. He is the Founding Dean of the School of Data Science and Professor of Biomedical Engineering.",
9,Steven Caliari,Steven R. Caliari | Steven joined the faculty of the University of Virginia in August 2016 as an Assistant Professor in the Department of Chemical Engineering with a secondary appointment in the Department of Biomedical Engineering. He was promoted to Associate Professor in 2022 and named a SEAS Copenhaver Fellow in 2023. Prior to joining UVA he was an NIH Postdoctoral Fellow in the Department of Bioengineering at the University of Pennsylvania. Steven completed his B.S. in Chemical Engineering at the University of Florida and received both his M.S. and Ph.D. in Chemical Engineering from the University of Illinois at Urbana-Champaign.,"SEAS Copenhaver Fellow 2023, UVA Research Excellence Award 2021, Young Innovator in Cellular and Molecular Bioengineering 2021, NSF CAREER Award 2021, NIH (NIGMS) Maximizing Investigators’ Research Award (MIRA) 2020, Robert A. Moore, Jr. Award in Chemical Engineering 2020,"
10,David Chen,"David Chen | David Chen is a dynamic leader in academic innovation and entrepreneurship with extensive experience at the intersection of biomedical engineering, business, and translational research. As the founding Managing Director of the Wallace H. Coulter Center for Translational Research at the University of Virginia, he oversees a $34 million endowed center dedicated to translating science from the lab to the marketplace. Under his direction, the center has played a key role in launching over 35 startups, which have collectively raised more than $1.5 billion in funding.",
11,George Christ,"George Joseph Christ | Dr. Christ develops basic and translational tissue engineering and regenerative medicine approaches to organ and tissue repair, reconstruction and replacement, with a focus on the musculoskeletal system, vasculature and lower urinary tract. Dr. Christ is an internationally recognized expert in muscle physiology. He is the Past Chairman of the Division of Systems and Integrative Pharmacology of the American Society of Pharmacology and Experimental Therapeutics (ASPET), and Past President of the North Carolina Tissue Engineering and Regenerative Medicine (NCTERM) group. He was inducted into AIMBE in 2017. He currently serves on the Executive Committee of the Division for Integrative Systems, Translational and Clinical Pharmacology of ASPET. He is also on the Editorial Board of five journals and is an ad-hoc reviewer for 2 dozen others.","Commonwealth Professor of Engineering 2023, Advanced Regenerative Manufacturing Institute Breakout Award 2019, American Institute for Medical and Biological Engineering College of Fellows 2017,"
