paperID,title,url,abstract,publisher,source,yearPublished
1,The Sustainable Personality: Values and Behaviors in Individual Sustainability.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&citation_for_view=iyCFjx0AAAAJ:_FxGoFyzp5QC,"Meaningful societal change begins with individual change. One cannot do for a community what one cannot do for one's self. The topic of Individual Sustainability is a controversial one, as students often appear to be unable to align their demonstrated behaviors with their admirable values related to sustainability. Individual behavior creates the foundation for action in social, economic, and environmental sustainability, and potentially guides our ability to work with one another to make life-affirming decisions. In short, it is a matter of aligning our day-to-day behaviors with our well-stated values that will result in greater sustainable community action. The general objective of this research is to determine how an interactive website providing multisource feedback on personality motivates students to change their behaviors or values, or to align their behaviors and values. We believe that creating a ""cognitive dissonance"" between individuals' values and behaviors","Sciedu Press. 1120 Finch Avenue West Suite 701-309, Toronto Ontario, Canada M3J 3H7",,2015
2,Walking the walk: Conceptual foundations of the Sustainable Personality,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&citation_for_view=iyCFjx0AAAAJ:UeHWp8X0CEIC,"Systems Theory in sustainability studies has normally not been extended beyond environmental, economic, and social contexts. The role of the individual is critical to the success of sustainability efforts across other contexts. Sustainable Personality explores the fundamental conceptual foundations for sustainable behavior and the role of the individual in environmental, social, and economic sustainability. This paper provides a broad historical foundation, starting with Greek philosophy, for the concept of Sustainable Personality. The authors' purpose is to demonstrate that our global sustainability problems stem largely from individual limitations, and that meaningful human change begins with individual change. In particular, the challenge of increasing sustainable action by empowering individuals to align their behaviors with their admirable values is explored.",Elsevier,,2015
3,The affective regulation of social interaction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&citation_for_view=iyCFjx0AAAAJ:UebtZRa9Y70C,"The recent publication of David Heise's Expressive Order (2007) provides an occasion for discussing some of the key ideas in Affect Control Theory. The theory proposes that a few dimensions of affective meaning provide a common basis for interrelating personal identities and social actions. It holds that during interpersonal interactions, social behavior is continually regulated to maintain an affective tone compatible with whatever social roles or identities define the situation. We outline the intellectual history of the proposed dimensions and of the idea that each social action invites an action from the other that has a particular location along these dimensions. We also relate these ideas to the Affect-as-Information hypothesis, an approach that often guides research in psychology on the role of affect in regulating judgment and thought.",SAGE Publications,,2007
4,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&citation_for_view=iyCFjx0AAAAJ:roLk4NBRz8UC,"During the past decade, and especially over the last few years, engineering educators have been promoting, and implementing in their classrooms, an increased emphasis on student creativity, problem-solving ability, and inventiveness. At a growing number of universities, student engineers are studying the creative process, developing advanced thinking and problem-solving skills, and learning to design by experience. Successful programs, projects, and research at premier engineering schools around the country are equipping students with the advanced creative and cognitive abilities required to succeed as contemporary professionals. This paper is a review of the innovative, multi-disciplinary, educational methodology that is manifest in several types of new efforts, including: 1) Engineering design in a studio atmosphere; 2) Engineering courses for creative problem-solving; 3) Encouraging creativity and insight through journal writing; 4) The agenda for creativity at the UK Centre for Materials Education; and 5) A focus on the personal creative process. Research for this review inspired The Creativity, Innovation, and Design Report, a new national publication dedicated to fostering creativity and innovation in engineering and applied science education.",,2003 Annual Conference,2003
5,An evaluation of freshman engineering persistence using expectancy-value theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&citation_for_view=iyCFjx0AAAAJ:YsMSGLbcyi4C,"As we engage in an increasingly complex and quickly progressing world, the development of science, technology, engineering, and mathematics (STEM) students will be increasingly important to the continuation of the United States' competitiveness. However, the overall number of STEM students earning a degree will not be able to meet the increasing demand for practicing professionals especially within historically underrepresented groups such as women and minorities. One way to tackle this problem is to increase the retention of STEM students by studying the processes that influence persistence to completion of a STEM degree. Retention is critically important to the field of engineering as over 10% of all engineering majors will switch to other STEM degrees and even more will not persist within STEM fields at all. The focus of this paper is to utilize Expectancy-Value Theory to determine how freshman …",IEEE,,2013
6,"Educating the Whole Engineer at Wake Forest Engineering: Using Cognitive Apprenticeship as an Effective Pedagogical Approach to Cultivate Design Learning, Team Effectiveness …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=iyCFjx0AAAAJ:5nxA0vEk-isC,"To better serve the evolving needs of society through responsible design, we must better educate the next generation of engineers to continue innovating and advancing technological solutions for the betterment of humanity. Wake Forest Engineering was built on the mission to Educate the Whole Engineer with a vision for our graduates to make positive societal impact (For Humanity). In educating the whole engineer, we must recognize that the complexities of engineering practice involve not only technical domains of learning (e.g., technical engineering knowledge, processes and thinking, fundamental principles, advanced technological methods and tools, prototyping, testing) but also non-technical domains of learning (e.g., collaboration and teamwork, engagement with stakeholders, effective communication, project management, ethical decision making, entrepreneurial mindset, professionalism, character …",TEMPUS PUBLICATIONS,,2024
7,Social emotional learning in STEM higher education,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=iyCFjx0AAAAJ:ufrVoPGSRksC,"This chapter provides an overview of social emotional learning in STEM higher education. The authors discuss SEL competencies within this context and examine underlying issues, such as professional demands and emotional challenges within the learning environment that motivate SEL in higher education STEM contexts. Existing gaps and promising models relevant to bringing SEL into the university curriculum are also highlighted. Current approaches highlight teaching strategies and extracurricular activities that support the development of emotional intelligence, social skills, and empathy. The chapter also presents key recommendations for improving SEL-based practices in STEM higher education.",IGI Global Scientific Publishing,,2023
8,Scoping review of character development pedagogies in engineering education,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=iyCFjx0AAAAJ:zYLM7Y9cAGgC,"When preparing engineering students for professional practice, the importance of their engagement in global, social, and ethical dimensions of engineering cannot be overemphasized. The importance of ethics is well discussed in engineering education literature, but much less is known about how to effectively prepare graduates for the complex global, social, and ethical challenges of engineering practice. Studies have found that common challenges to engineering ethics education include lack of student interest, resistance from faculty, and a lack of consensus regarding topics and pedagogical methods to include in already saturated curricula.We believe a character-focused approach to engineering ethics education could address these challenges by providing language and tools that are easily accessible to students and faculty for engaging ethical challenges in engineering and addressing students' …",IEEE,2022 IEEE Frontiers in Education Conference (FIE),2022
9,Operationalizing Team Effectiveness with Evidence-based Practice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=iyCFjx0AAAAJ:Tyk-4Ss8FVUC,"The design team is at the core of the capstone ecosystem, so understanding team dynamics is essential to capstone design research and practice. Much has been learned in this domain, but operational (ie, practical) approaches to enhancing team effectiveness lag behind theoretical findings. At Wake Forest Engineering, the instructional team has adopted an integrative evidence-based practice approach that capitalizes on tools drawn from diverse academic and professional sources to augment team effectiveness. Developmental processes associated with this approach are briefly discussed, and a working toolset is demonstrated to provide a basis for other capstone instructional teams to explore the potential of evidence-based practice.",,,2022
10,Engineering Education Meets Organizational Science: Toward Best Practices for Strategic Change,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iyCFjx0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=iyCFjx0AAAAJ:W7OEmFMy1HYC,"This Innovative Practice Full Paper explores how implementing best practices from organizational science can strengthen strategic change initiatives in engineering education. Transforming organizational culture has been a priority in engineering education for nearly four decades, but systemic change has not come easily, and long-standing goals remain elusive. Stagnant graduation and industry participation rates for women and underrepresented minorities have implications for establishing cultures of inclusion. Further, continued difficulty closing the research-to-practice gap in the engineering classroom points to faculty cultures that are resistant to, or unprepared for, change. Are such cultures immutable, or could our current interventional methods be improved? How much do we really know about planning and managing change, and could best practices from organizational science help catalyze the …",IEEE,,2021
