TopicID,InstructorID
3,1
4,1
5,2
5,148
5,268
5,307
8,2
8,20
8,26
8,194
8,268
10,3
12,3
14,3
15,4
18,1
18,4
20,5
23,6
23,21
23,25
24,6
25,6
26,6
27,6
28,6
30,7
30,11
34,9
38,10
45,12
46,12
48,13
51,2
51,14
51,20
51,23
51,25
51,26
51,31
55,14
56,15
56,33
60,16
64,19
65,19
67,22
69,22
69,33
70,23
72,23
75,24
75,30
75,164
75,194
81,12
81,14
81,20
81,21
81,25
81,26
82,26
82,36
82,49
82,256
87,28
88,29
90,30
93,31
94,32
95,32
95,34
95,204
97,33
105,38
105,41
105,42
105,46
105,52
105,247
105,252
106,38
107,38
111,39
112,39
115,26
115,40
130,48
132,48
138,50
146,55
148,55
152,62
152,180
154,63
160,67
160,77
160,168
160,309
160,310
166,68
167,68
168,68
169,68
169,69
169,136
171,69
173,69
179,70
180,72
181,72
184,73
186,74
186,98
186,310
188,75
189,75
190,75
191,75
192,75
194,76
195,76
198,77
198,92
198,112
198,170
198,172
198,177
198,180
198,192
199,77
199,301
199,309
199,312
200,78
202,63
202,78
204,79
207,74
207,79
208,79
216,82
218,83
219,83
221,85
221,88
221,130
221,126
221,130
221,152
221,186
225,86
226,86
236,87
250,94
257,98
257,148
260,99
261,99
265,100
274,106
275,106
275,301
275,309
275,312
282,110
282,116
282,186
285,111
286,111
287,111
288,112
289,92
289,112
289,172
289,177
289,180
292,115
297,116
301,122
303,123
307,126
309,128
312,103
312,115
312,129
312,142
313,130
318,87
318,95
318,130
321,130
323,132
328,134
329,134
330,134
332,136
333,136
334,140
336,140
339,142
341,142
342,142
345,142
351,144
355,151
357,152
365,156
366,156
367,158
374,160
377,164
378,165
378,167
378,170
378,194
382,166
383,167
383,173
383,177
386,168
390,170
390,172
390,177
390,192
390,202
392,177
392,201
392,252
395,177
395,248
395,252
399,178
404,180
405,182
407,182
408,183
410,186
411,187
414,189
416,190
417,190
418,190
427,193
429,194
429,266
443,200
444,200
454,205
457,205
459,205
461,205
463,207
465,207
467,208
470,208
473,210
483,215
484,215
495,223
496,223
498,224
502,226
505,229
507,232
508,232
510,232
515,233
518,234
523,235
524,235
529,238
541,241
544,241
545,243
547,243
549,244
555,248
560,250
561,250
564,250
565,250
568,251
571,253
572,253
578,255
581,255
582,255
583,257
584,257
586,257
586,259
586,270
598,259
602,260
605,261
606,261
609,262
611,263
615,263
621,265
629,267
630,267
631,114
631,268
634,269
637,269
638,270
641,270
642,270
642,284
644,270
646,271
647,267
647,274
647,280
652,276
653,276
655,276
658,277
659,278
662,278
663,278
668,280
671,286
674,288
677,288
682,289
684,289
686,289
688,290
689,290
691,291
694,291
699,294
703,294
704,294
706,294
708,296
709,296
710,296
712,297
713,297
716,299
717,294
717,299
719,299
726,303
727,303
733,309
734,314
741,315
744,314
744,321
745,321
746,326
747,326
748,326
750,219
751,219
753,219
754,236
754,238
754,245
755,134
762,304
764,244
766,244
767,244
768,244
770,60
771,60
773,137
774,137
775,137
777,137
786,187
788,187
790,231
791,231
793,231
794,231
796,291
797,291
799,30
799,305
800,305
802,305
803,305
805,63
807,63
809,3
813,319
817,79
822,262
826,262
827,20
827,26
828,14
828,20
833,91
833,123
837,207
838,200
839,200
841,167
841,178
841,200
842,115
845,149
846,88
847,303
848,303
849,303
850,303
851,303
853,278
855,278
857,278
859,226
860,282
861,282
862,282
863,167
863,173
864,234
865,234
866,234
867,234
867,248
869,109
869,179
870,109
870,162
874,209
876,209
880,233
885,76
888,76
891,267
891,274
892,267
894,117
895,112
897,69
898,69
899,69
900,197
901,197
902,197
907,165
908,165
909,152
912,152
914,131
919,236
921,87
921,93
924,46
925,46
926,110
930,243
931,243
937,210
937,223
937,224
938,224
939,224
944,25
949,80
950,7
950,11
951,7
954,171
956,171
957,171
960,23
961,3
961,23
962,143
962,168
963,269
963,272
964,272
965,106
965,272
965,296
967,241
971,216
972,216
974,216
976,297
978,297
984,167
987,39
988,133
989,133
990,133
995,123
999,239
1003,268
1005,19
1011,300
1012,300
1013,300
1019,254
1021,221
1022,221
1025,170
1033,105
1034,105
1035,140
1045,189
1048,288
1050,288
1059,107
1061,308
1071,255
1073,292
1074,286
1077,18
1078,18
1079,18
1080,18
1081,18
1085,321
1088,32
1089,103
1094,82
1095,82
1096,82
1097,199
1100,163
1101,74
1103,242
1103,248
1105,248
1107,296
1109,296
1111,40
1112,40
1113,70
1115,70
1123,194
1124,194
1125,194
1127,194
1128,204
1129,204
1130,204
1132,201
1133,201
1134,266
1137,220
1138,220
1139,106
1140,106
1142,182
1145,258
1148,240
1149,240
1150,240
1151,27
1152,27
1154,27
1155,38
1155,42
1162,48
1166,191
1167,191
1168,8
1168,87
1168,191
1169,191
1170,222
1173,222
1176,247
1179,186
1183,8
1186,274
1188,111
1190,111
1194,259
1198,130
1201,311
1202,311
1204,11
1209,143
1210,289
1212,289
1217,113
1218,113
1219,113
1224,73
1225,246
1228,213
1229,213
1231,213
1233,14
1237,326
1238,198
1240,198
1241,232
1242,232
1243,299
1244,299
1254,307
1255,307
1256,307
1257,307
1258,203
1260,203
1267,172
1270,81
1272,81
1273,58
1275,225
1276,225
1278,225
1280,192
1283,251
1284,251
1285,251
1286,251
1290,164
1291,205
1291,273
1292,273
1300,284
1302,242
1303,242
1305,253
1308,17
1310,145
1314,145
1319,205
1323,269
1324,269
1327,295
1332,24
