TopicID,TopicName,Level1_Category,Level2_Category,Level3_Category,Level4_Category
377,Bioimage Analysis,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.1 Medical Imaging & Diagnostics,
1112,Advanced (Bio)Manufacturing,3. Materials Science & Engineering,3.1 Materials Synthesis & Processing,3.1.2 Additive Manufacturing,
1048,Trauma,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
45,Immunoengineering,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
138,Therapeutic Peptide Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
709,Knowledge Discovery,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.1 Data Mining & Analytics,
365,Reinforcement Learning,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
817,Water Resources Management,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.1 Water Resources,
1166,Signal Processing,4. Electrical & Electronics Engineering,4.3 Communications & Signal Processing,4.3.2 Signal Processing,
285,AI For Science,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
1332,Magnetic Resonance Imaging,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.1 Medical Imaging & Diagnostics,
967,Electronic Structure,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.1 Electronic Materials,
637,Trauma Biomechanics,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
1081,Vascular Biology,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
846,Computer Science Education Scholarship/Research,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.1 CS Education,
4,Regenerative Medicine Tissue Repair Wound Healing,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.2 Regenerative Medicine,
524,Electron Microscopy In-Situ Techniques 4D-STEM,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.1 Microscopy & Imaging,
226,Informal Learning With Technology,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.2 Educational Technology,
1257,Virtual Reality/Augmented Reality/Mixed Reality,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.2 VR/AR/MR,
72,Targeted TherapeutiCS For Cancer,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
727,Discrete And Continuous Dynamical Systems,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.4 Mathematical Modeling,
275,Stochastic Modeling,8. Industrial & Systems Engineering,8.1 Operations Research,8.1.2 Stochastic Systems,
395,Computation Materials Science,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.4 Computational Materials,
51,Systems Biology,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
194,Structural DynamiCS And Control,5. Mechanical & Aerospace Engineering,5.5 Dynamics & Vibrations,5.5.1 Structural Dynamics,
56,Targeted Drug And Gene Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
111,Statistical PhysiCS & Biophysics,9. Interdisciplinary & Emerging Fields,9.2 Physics & Applied Physics,9.2.4 Statistical Physics,
1256,Eye Tracking,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
309,Cryptography,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
921,Multi-Agent Systems,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.3 Distributed & Cloud Computing,
152,Safety,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.2 Safety Engineering,
221,Artificial Intelligence And Machine Learning,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
954,Optical Fiber Communication,4. Electrical & Electronics Engineering,4.2 Photonics & Optoelectronics,4.2.2 Optical Communications,
857,Thermal Management,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.2 Heat Transfer,
470,The Anthropocene And Climate Change,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.4 Climate & Sustainability,
995,Software-Defined Networking,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.1 Networking,
1323,Resuscitation,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
334,Wireless Networking,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.1 Networking,
361,Artificial Intelligence,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
766,Semiconductors,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.1 Semiconductor Devices,
1109,Space-Time Modeling,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.4 Mathematical Modeling,
773,Generative AI In Computer Science Courses,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.1 CS Education,
12,Stem Cells & Regeneration,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.2 Regenerative Medicine,
1260,Cancer Screening,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
965,Machine Learning,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
581,Data-Driven Design And Engineering,5. Mechanical & Aerospace Engineering,5.4 Design & Manufacturing,5.4.1 Engineering Design,
885,Earthquake Engineering,6. Civil & Environmental Engineering,6.1 Structural Engineering,6.1.2 Earthquake Engineering,
407,Neuromorphic Computing,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.2 Nanoelectronics,
1059,Formal Methods,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.2 Formal Methods & Verification,
1270,Water Quality,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.2 Water Treatment,
1302,Corrosion Science,3. Materials Science & Engineering,3.5 Structural Materials,3.5.4 Materials Degradation,
