TopicID,TopicName,Level1_Category,Level2_Category,Level3_Category,Level4_Category
3,Fibroblast Biology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
4,Regenerative Medicine Tissue Repair Wound Healing,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.2 Regenerative Medicine,
5,Human Factors,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
8,Quantitative Biosciences,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
10,Cell And Developmental Biology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
12,Stem Cells & Regeneration,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.2 Regenerative Medicine,
14,Translational Science,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
15,Mechanotransduction,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
18,Fibrosis,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
20,Inclusive And Equitable Student Support,9. Interdisciplinary & Emerging Fields,9.3 Engineering Education & Research,9.3.3 STEM Education,
23,Biotechnology,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
24,Biofilms,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
25,Biomineralization,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.3 Biomaterials,
26,Biosurfactants,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.3 Synthetic Biology,
27,Biosensors,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.3 Medical Devices & Instrumentation,
28,Structural Biology,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
30,Musculoskeletal Diseases,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
34,Mechanobiology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
38,Entrepreneurship,9. Interdisciplinary & Emerging Fields,9.6 Business & Economics Applications,9.6.1 Business Analytics,
45,Immunoengineering,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
