TopicID,TopicName,ParentID
3,Fibroblast Biology,10304
4,Regenerative Medicine Tissue Repair Wound Healing,10302
5,Human Factors,80401
8,Quantitative Biosciences,10402
10,Cell And Developmental Biology,10304
12,Stem Cells & Regeneration,10302
14,Translational Science,10104
15,Mechanotransduction,10304
18,Fibrosis,10401
20,Inclusive And Equitable Student Support,90303
23,Biotechnology,10202
24,Biofilms,10401
25,Biomineralization,10303
26,Biosurfactants,10203
27,Biosensors,10103
28,Structural Biology,10402
30,Musculoskeletal Diseases,10301
34,Mechanobiology,10304
38,Entrepreneurship,90601
45,Immunoengineering,10403
46,Maternal And Placental Immune Regulation,10403
48,Image Reconstruction And Processing,20103
51,Systems Biology,10401
55,Tumor Heterogeneity,10401
56,Targeted Drug And Gene Delivery,10201
60,Drug And Cell Delivery,10201
64,Tissue Regeneration,10301
65,Bioprinting,10303
67,Theranostics And Image-Guided Therapies,10101
69,Cancer Immunotherapy,10403
70,Cell Signaling And Cellular Decision-Making,10304
72,Targeted Therapeutics For Cancer,10201
75,Signal And Image Processing,40303
81,Cancer,10401
82,Biotechnology And Biomolecular Engineering,10202
87,Biotechnology Engineering,10202
88,Drug And Gene Delivery,10201
90,Computer Graphics And Vision,20103
93,Inflammation-Fibrosis,10401
94,Advanced Immunotherapies,10403
95,Nanotechnology,30104
97,Precision Medicine,90501
105,Catalysis,70101
106,Electrocatalysis,70101
107,Materials Synthesis,30101
111,Statistical Physics & Biophysics,90204
112,Protein Separations,10204
115,Bioengineering,10202
130,Materials Microstructure Control,30204
132,Reaction Engineering,70101
138,Therapeutic Peptide Delivery,10201
146,Soft Materials,30402
148,Peptide Self-Assembly,10202
152,Safety,80402
154,Negative Emissions,70302
160,Intelligent Transportation Systems,60203
166,Hydroinformatics,60301
167,Stormwater,60301
168,Flooding,60301
169,Smart Cities,60502
171,Infrastructure Condition Assessment,60103
173,Digital Twins,80202
179,Construction Automation,60501
180,Design,50401
181,Behavioral Science,80401
184,Hydrological Extremes,60301
186,Risk Management,80204
188,Multiphysics And Multiscale Modeling,50102
