TopicID,TopicName,Level1_Category,Level2_Category,Level3_Category,Level4_Category
1,Molecular Immunology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
2,Biomaterials,3. MATERIALS SCIENCE & ENGINEERING,3.4 Polymers & Soft Matter,3.4.4 Biomaterials,
3,Fibroblast Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
4,"""Regenerative Medicine Tissue Repair"," Wound Healing""",1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,"1.3.2 Regenerative Medicine, "
5,Human Factors,8. INDUSTRIAL & SYSTEMS ENGINEERING,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
6,Biomedical Data Sciences,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
7,Computational Systems Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
8,Quantitative Biosciences,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
9,Bioinformatics And Genomics,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
10,Cell And Developmental Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
11,Computational Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
12,Stem Cells & Regeneration,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.2 Regenerative Medicine,
13,Neuroscience,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.4 Neuroscience & Neural Engineering,
14,Translational Science,9. INTERDISCIPLINARY & EMERGING FIELDS,"9.4 Science,  Technology & Society","9.4.3 Innovation Studies, ",
15,Mechanotransduction,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
16,Cell And Molecular Biomechanics,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
17,Regenerative Medicine,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.2 Regenerative Medicine,
18,Fibrosis,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
19,Engineering Education,9. INTERDISCIPLINARY & EMERGING FIELDS,9.3 Engineering Education & Research,9.3.1 Engineering Education,
20,Inclusive And Equitable Student Support,9. INTERDISCIPLINARY & EMERGING FIELDS,9.3 Engineering Education & Research,9.3.3 STEM Education,
21,Synthetic Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.2 Biotechnology & Biomolecular Engineering,1.2.3 Synthetic Biology,
22,Biomanufacturing,5. MECHANICAL & AEROSPACE ENGINEERING,5.4 Design & Manufacturing,5.4.2 Manufacturing Processes,
23,Biotechnology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
24,Biofilms,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.2 Biotechnology & Biomolecular Engineering,,
25,Biomineralization,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
26,Biosurfactants,7. CHEMICAL & NUCLEAR ENGINEERING,7.1 Chemical Engineering,,
27,Biosensors,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.1 Biomedical Engineering,1.1.3 Medical Devices & Instrumentation,
28,Structural Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
29,Biomechanics,8. INDUSTRIAL & SYSTEMS ENGINEERING,8.4 Human Factors & Ergonomics,8.4.3 Ergonomics,
30,Musculoskeletal Diseases,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
31,Structural Bioinformatics,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
32,Biomedical Data Science And Systems Biology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,,
33,Systems Pharmacology,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
