childTopicID,parentTopicID
1,10002
2,10005
3,10007
4,10009
5,10012
6,10013
7,10014
8,10013
9,10013
10,10007
11,10013
12,10015
13,10016
14,10019
15,10007
16,10007
17,10015
18,10020
19,10022
20,10023
21,10025
22,10028
23,10029
24,10024
25,10020
26,10031
27,10033
28,10013
29,10034
30,10035
31,10013
32,10001
33,10014
34,10007
35,10020
36,10028
37,10019
38,10019
39,10019
40,10019
41,10036
42,10028
43,10005
44,10014
45,10002
46,10002
48,10039
49,10040
50,10041
51,10014
52,10014
53,10007
54,10042
55,10014
56,10042
57,10040
58,10006
59,10005
60,10042
61,10044
62,10033
63,10046
64,10020
65,10048
66,10042
67,10040
68,10007
69,10002
70,10007
72,10042
73,10013
75,10051
76,10035
77,10020
79,10013
81,10014
82,10053
83,10014
84,10020
85,10028
86,10013
87,10029
88,10042
89,10035
90,10039
91,10054
93,10002
94,10002
95,10055
96,10005
97,10041
99,10005
100,10025
101,10006
102,10057
103,10013
104,10059
105,10060
106,10060
107,10061
108,10062
109,10063
110,10054
111,10065
112,10066
113,10004
115,10032
116,10067
118,10070
119,10071
120,10066
121,10072
122,10074
123,10075
124,10076
125,10067
126,10077
127,10077
128,10074
129,10062
130,10062
131,10067
132,10060
133,10006
134,10042
135,10029
136,10072
137,10029
138,10042
139,10060
140,10063
141,10063
142,10063
143,10020
144,10042
146,10077
147,10072
148,10029
149,10079
150,10081
151,10082
152,10083
153,10085
154,10085
155,10086
156,10088
157,10089
158,10091
159,10093
160,10094
161,10095
162,10096
163,10078
164,10068
165,10071
166,10071
167,10071
168,10098
169,10099
171,10099
172,10100
173,10099
174,10054
175,10101
176,10103
177,10094
178,10105
179,10106
180,10290
180,10107
181,10012
182,10108
183,10071
184,10110
185,10071
186,10088
187,10111
188,10113
189,10099
190,10114
191,10115
192,10097
193,10098
194,10117
195,10118
196,10086
197,10120
198,10122
199,10124
200,10108
201,10084
202,10085
203,10075
204,10071
205,10093
206,10071
207,10088
208,10087
209,10108
210,10125
211,10125
212,10127
213,10088
214,10088
215,10055
216,10094
217,10040
218,10128
219,10128
220,10120
221,10054
222,10092
223,10095
224,10111
225,10111
226,10130
227,10105
228,10111
229,10131
230,10131
231,10133
232,10134
233,10038
234,10057
235,10134
237,10057
240,10038
241,10135
242,10136
243,10137
244,10139
245,10140
246,10141
247,10142
248,10140
251,10054
252,10143
253,10089
254,10144
255,10142
256,10121
257,10142
258,10145
259,10145
260,10145
261,10145
262,10012
263,10146
264,10054
265,10111
266,10058
267,10121
269,10148
270,10150
271,10139
272,10139
273,10120
274,10050
275,10144
277,10054
278,10151
279,10038
280,10152
281,10151
282,10153
283,10125
284,10121
285,10054
286,10143
287,10056
289,10122
290,10154
291,10131
292,10129
294,10125
295,10125
296,10155
297,10129
298,10142
299,10142
300,10161
302,10032
303,10141
304,10141
305,10141
306,10120
307,10162
308,10164
309,10166
310,10167
311,10167
312,10139
313,10125
315,10134
316,10169
317,10170
318,10171
319,10173
320,10057
321,10175
322,10176
323,10176
324,10177
325,10080
326,10111
327,10178
328,10012
329,10146
330,10104
331,10111
332,10178
333,10104
334,10141
335,10092
336,10146
338,10121
339,10179
340,10180
341,10123
342,10142
344,10134
346,10167
348,10054
349,10038
350,10086
351,10104
352,10159
353,10039
354,10181
355,10142
356,10120
357,10153
358,10089
359,10167
362,10150
363,10143
364,10184
365,10054
366,10088
367,10080
368,10038
369,10120
370,10145
371,10038
372,10154
373,10171
374,10142
375,10040
376,10124
377,10040
378,10158
379,10185
380,10158
381,10023
382,10115
383,10186
384,10136
385,10137
386,10136
387,10135
388,10135
389,10187
390,10188
391,10188
392,10189
393,10190
394,10191
396,10193
397,10074
398,10055
399,10158
400,10039
401,10040
402,10040
403,10040
404,10152
405,10194
406,10092
407,10142
408,10195
409,10197
410,10179
411,10198
412,10135
413,10200
414,10038
415,10154
416,10186
417,10159
418,10073
419,10197
420,10203
421,10154
422,10159
423,10142
424,10033
425,10135
429,10027
430,10135
431,10074
432,10205
433,10093
434,10038
435,10033
436,10159
437,10121
438,10206
439,10121
440,10207
441,10208
442,10207
443,10207
444,10193
446,10200
447,10188
448,10206
449,10210
450,10033
451,10212
452,10151
453,10151
454,10213
455,10205
456,10213
457,10213
458,10213
459,10213
460,10176
461,10213
462,10215
463,10213
464,10215
465,10213
466,10215
467,10205
468,10215
469,10215
470,10108
472,10151
473,10213
474,10137
475,10218
