CourseID,Number,Name,Description
1,1090,Single Variable Calculus I,"APMA 1090 Single Variable Calculus I  Student Evaluations The concepts of differential and integral calculus are developed and applied to the elementary functions of a single variable. Limits, rates of change, derivatives, and integrals. Applications are made to problems in analytic geometry and elementary physics."
2,1110,Single Variable Calculus II,"APMA 1110 Single Variable Calculus II  Student Evaluations Advanced techniques of integration are introduced, and integration is used in physics applications like fluid force, work, and center of mass. Improper integrals and approximate integration using Simpson's Rule are also studied. Infinite series including Taylor series are studied and numerical methods involving Taylor polynomials are studied. Parametric equations and polar coordinates are introduced and applied. Complex numbers are introduced. Pre-requisite: APMA 1090 or MATH 1310"
3,2120,Multivariable Calculus,"APMA 2120 Multivariable Calculus  Student Evaluations Topics include vectors in three-space and vector valued functions. The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Applications. Prerequisite: APMA 1110 or MATH 1320."
4,2130,Ordinary Differential Equations,"APMA 2130 Ordinary Differential Equations  Student Evaluations First order differential equations, second order and higher order linear differential equations, undetermined coefficients, variation of parameters, Laplace transforms, linear systems of first order differential equations and the associated matrix theory, numerical methods. Applications. Prerequisite: APMA 1110 or equivalent."
5,2501,Special Topics in Applied Mathematics,APMA 2501 Special Topics in Applied Mathematics  Student Evaluations Special topics in applied mathematics
6,3080,Linear Algebra,"APMA 3080 Linear Algebra  Student Evaluations Analyze and apply systems of linear equations; vector spaces; linear transformations; matrices; determinants; eigenvalues; eigenvectors; coordinates; diagonalization; orthogonality; projections; inner product spaces; quadratic forms; The course is both computational and applicable. MATLAB is frequently used and prior experience in MATLAB (loops, functions, arrays, conditional statements) is helpful. Prerequisite: APMA 2120 or equivalent."
7,3100,Probability,"APMA 3100 Probability  Student Evaluations A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference. Students must have completed (APMA 2120 or MATH 2310 or MATH 2315) AND (CS 1110 or CS 1111 or CS 1112 or CS 1113 or successfully completed the CS 1110 place out test)."
8,3110,Applied Statistics and Probability,"APMA 3110 Applied Statistics and Probability  Student Evaluations Introduces basic concepts of probability such as random variables, single and joint probability distributions, and the central limit theorem. The course then emphasizes applied statistics, including descriptive statistics, statistical inference, confidence intervals, hypothesis testing, correlation, linear regression, and ANOVA. Students cannot receive credit for both this course and APMA 3120. Prerequisite: APMA 2120 or equivalent."
9,3120,Statistics,"APMA 3120 Statistics  Student Evaluations Includes point estimation methods, confidence intervals, hypothesis testing for one population and two populations, categorical data tests, single and multi-factor analysis of variance (ANOVA) techniques, linear and non-linear regression and correlation analysis, and non-parametric tests. Students cannot receive credit for both this course and APMA 3110. Prerequisite: APMA 3100 or MATH 3100."
10,3140,Applied Partial Differential Equations,"APMA 3140 Applied Partial Differential Equations  Student Evaluations Partial differential equations that govern physical phenomena in science and engineering. Separation of variables, superposition, Fourier series, Sturm-Liouville eigenvalue problems, eigenfunction expansion techniques. Particular focus on the heat, wave, and Laplace partial differential equations in rectangular, cylindrical, and spherical coordinates. Prerequisites: (APMA 2120 or MATH 2310 or MATH 2315) AND (APMA 2130 or MATH 3250 or APMA 2501 topic Diff Equations & Linear Algebra)"
11,3150,From Data to Knowledge,"APMA 3150 From Data to Knowledge  Student Evaluations This course uses a Case-Study approach to teach statistical techniques with R: confidence intervals, hypotheses tests, regression, and anova. Also, it covers major statistical learning techniques for both supervised and unsupervised learning. Supervised learning topics cover regression and classification, and unsupervised learning topics cover clustering & principal component analysis. Prior basic statistic skills are needed."
12,3501,Special Topics in Applied Mathematics,APMA 3501 Special Topics in Applied Mathematics  Student Evaluations Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment.
13,6410,Engineering Mathematics I,"APMA 6410 Engineering Mathematics I  Student Evaluations Review of ordinary differential equations. Initial value problems, boundary value problems, and various physical applications. Linear algebra, including systems of linear equations, matrices, eigenvalues, eigenvectors, diagonalization, and various applications. Scalar and vector field theory, including the divergence theorem, Green's theorem, Stokes theorem, and various applications. Partial differential equations that govern physical phenomena in science and engineering. Solution of partial differential equations by separation of variables, superposition, Fourier series, variation of parameters, d' Alembert's solution. Eigenfunction expansion techniques for nonhomogeneous initial-value, boundary-value problems. Particular focus on various physical applications of the heat equation, the potential (Laplace) equation, and the wave equation in rectangular, cylindrical, and spherical coordinates. Cross-listed as MAE 6410. Prerequisite: Graduate standing."
