Id,Name
1,Molecular Immunology
2,Biomaterials
3,Fibroblast Biology
4,Regenerative Medicine Tissue Repair, Wound Healing
5,Human Factors
6,Biomedical Data Sciences
7,Computational Systems Biology
8,Quantitative Biosciences
9,Bioinformatics And Genomics
10,Cell And Developmental Biology
11,Computational Biology
12,Stem Cells & Regeneration
13,Neuroscience
14,Translational Science
15,Mechanotransduction
16,Cell And Molecular Biomechanics
17,Regenerative Medicine
18,Fibrosis
19,Engineering Education
20,Inclusive And Equitable Student Support
21,Synthetic Biology
22,Biomanufacturing
23,Biotechnology
24,Biofilms
25,Biomineralization
26,Biosurfactants
27,Biosensors
28,Structural Biology
29,Biomechanics
30,Musculoskeletal Diseases
31,Structural Bioinformatics
32,Biomedical Data Science And Systems Biology
33,Systems Pharmacology
34,Mechanobiology
35,Musculoskeletal Tissue Engineering
36,Materials And Advanced Manufacturing For Biological Applications
37,Translational Research
38,Entrepreneurship
39,Technology Transfer
40,Innovation
41,Student Industry Preparedness
42,Advanced Biomanufacturing
43,Engineered Soft Biomaterials
44,Systems Immunology
45,Immunoengineering
46,Maternal And Placental Immune Regulation
48,Image Reconstruction And Processing
49,Imaging System Engineering
50,Cardiovascular Disease
51,Systems Biology
52,Cancer Biology
53,Cellular And Molecular Bioengineering
54,Quantitative Pharmacology
55,Tumor Heterogeneity
56,Targeted Drug And Gene Delivery
57,Biomedical Imaging
58,Tissue Engineering And Biomaterials
59,Novel Biomaterial Development
60,Drug And Cell Delivery
61,Molecular Biomechanics Intermolecular Bond Mechanics, Molecular Motors, And The Motility Of Single Cells
62,Design Of Clinical Instruments
63,Scholarship Of Teaching And Learning Self-concept, Self-efficacy, And Other Psychometrics That Might Be Influenced By Hands-on Experiences
64,Tissue Regeneration
65,Bioprinting
66,Drug Development
67,Theranostics And Image-guided Therapies
68,Multi-functional Nanoconstructs And Cellular Engineering
69,Cancer Immunotherapy
70,Cell Signaling And Cellular Decision-making
72,Targeted Therapeutics For Cancer
73,Computational Modeling Of Biological Phenomena
75,Signal And Image Processing
76,Biomechanics/injury Biomechanics Or Biomechanics And Mechanobiology
77,Cardiovascular Engineering
79,Bioinformatics And Computational Biology
81,Cancer
82,Biotechnology And Biomolecular Engineering Biomolecular Design, Cellular And Molecular Bioengineering
83,Systems Bioengineering
84,Tissue Engineering
85,Advanced Biomanufacturing 3d Bioprinting
86,Cardiovascular Genetics
87,Biotechnology Engineering
88,Drug And Gene Delivery
89,Biomechanics And Mechanobiology
90,Computer Graphics And Vision
91,Machine Learning
93,Inflammation-fibrosis
94,Advanced Immunotherapies
95,Nanotechnology
96,Biomaterials Science
97,Precision Medicine
99,Biomaterials And Biofunctional Materials
100,Biosynthesis
101,Nanotechnology And Tissue Engineering
102,Data Mining
103,Bioinformatics
104,Health Informatics
105,Catalysis
106,Electrocatalysis
107,Materials Synthesis
108,Materials Characterization
109,Molecular Simulations
110,Machine Learning & Artificial Intelligence
111,Statistical Physics & Biophysics
112,Protein Separations
113,Polymers And Soft Matter
115,Bioengineering
116,Surface And Interface Science And Engineering
118,Environmental Engineering
119,Water Resources
120,Membrane Separations
121,Polymers
122,Redox Flow Battery / Fuel Cell Membranes
123,Desalination Membranes
124,Microwave Dielectric Relaxation Spectroscopy
125,Colloids And Interfaces
126,Assembly And Rheology
127,Soft Materials And Soft Matter
128,Batteries And Energy Storage
129,Particle Engineering And Characterization
130,Materials Microstructure Control And Characterization
131,Colloid And Surface Science
132,Reaction Engineering
133,Tissue Engineering And Regenerative Medicine
134,Drug Delivery
135,Biotechnology And Biomolecular Engineering
136,Polymer Synthesis And Characterization
137,Peptide Binding And Assembly
138,Therapeutic Peptide Delivery
139,Computational Catalysis
140,Quantum Chemical Calculations
141,Modeling Of Material Synthesis And Deactivation
142,Molecular Dynamics And Monte Carlo Simulations
143,Cardiovascular Tissue Engineering & Regenerative Medicine
144,Targeted Drug Delivery
146,Soft Materials
147,Polymer Physics
148,Peptide Self-assembly
