ID,Name,Departments,Description
1,Daniel Abebayehu,BME,"Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia."
2,Timothy Allen,BME,"Timothy E. Allen teaches and mentors students in the areas of computational modeling of complex biological systems, molecular and cell biology assays, and medical device design. He is a Professor in the Department of Biomedical Engineering at the University of Virginia. He received a B.S.E. in Biomedical Engineering at Duke University and M.S. and Ph.D. degrees in Bioengineering at the University of California, San Diego."
3,Sameer Bajikar,BME,"Sameer Bajikar, Ph.D., uses multidisciplinary techniques to study the biological processes that go awry in brain development in neurodevelopmental disorders, like autism spectrum disorders and intellectual disability. His group is developing novel human stem cell and genetically engineered mouse models to study a variety of neurodevelopmental disorders. By combining these models, high throughput molecular measurements, and computational systems biology, he hopes to identify key biological pathways that are involved in causing neurodevelopmental disorders. His lab will then use these biological pathways to engineer new treatments for this group of devastating disorders. He received both his undergraduate and graduate degrees in the department of Biomedical Engineering at the University of Virginia. His graduate work, under the mentorship of Dr. Kevin Janes, was supported by a Commonwealth Fellowship and Sture G. Olsson Fellowship from the University of Virginia and a National Science Foundation Graduate Research Fellowship. He then completed a postdoctoral fellowship in Molecular and Human Genetics under the mentorship of Dr. Huda Zoghbi at Baylor College Medicine. His postdoctoral fellowship was supported by an NRSA F32 fellowship from the National Institutes of Health / NICHD and a Zoghbi Scholar Award from Texas Children’s Hospital. As a Double ‘Hoo, Dr. Bajikar is excited to establish an exciting and vibrant research program in the Departments of Cell Biology and Biomedical Engineering at the University of Virginia starting in January 2024. The Bajikar lab is supported by an Independence Award from the International Rett Syndrome Foundation to study growth factor signaling in Rett syndrome, a several childhood neurological disorder. We are looking to recruit passionate and motivated students interested in understanding the underlying causes of neurodevelopmental disorders. Prospective trainees are encouraged to contact Dr. Bajikar at sbajikar@virginia.edu to learn about current opportunities."
4,Shannon Barker,BME,"Shannon Barker, Ph.D., focuses on ensuring that the BME undergraduate program's educational objectives and learning outcomes, as well as its curriculum, reflect an innovative and highly effective learning environment that meets the needs of all of its students, as well as employers, graduate & professional schools, and accreditation bodies. She is an Associate Professor and Undergraduate Program Director in the Department of Biomedical Engineering. She received her Ph.D. in Biomedical Engineering from the University of Alabama at Birmingham under the advisement of Dr. David Curiel and completed two post-doctoral fellowships with Dr. Jeffrey Chamberlain at the University of Washington and Dr. Patrick Aebischer at the Ecole Polytechnique Federale de Lausanne."
5,Thomas Barker,BME,"Thomas Barker explores and therapeutically exploits the fundamental links between fibroblast adaptation to their physical and biochemical microenvironment and their myofibroblastic differentiation during tissue repair, fibrosis and cancer. Dr. Barker is a Professor in Biomedical Engineering in the Schools of Engineering and Medicine at the University of Virginia. He performed his academic and scientific training with Drs. James Hagood, Joanne Murphy-Ullrich, Helene Sage, and Jeffrey Hubbell prior to his first faculty post at Georgia Institute of Technology, where he spend 10 years as an Assistant and Associate Professor. Dr. Barker’s research integrates engineering and quantitative approaches with basic cell and molecular biology to understand and control cell phenotype through their interactions with natural and engineered extracellular matrices. Dr. Barker is also focused on understanding the fundamental roles of cell mechanotransduction and mechanical forces in regulating the biochemical activity of proteins in the extracellular matrix toward wound repair, regeneration, and fibrosis. Dr. Barker has established a number of fundamental systems based on rational mutagenesis, molecular evolution of extracellular matrix protein fragments and antibodies that allow both basic biochemical and cell biological studies on the ECM and detection and treatment of organ fibrosis. Dr. Barker has co-authored research and review papers in leading cell biology, matrix biology, and biomaterials journals, he received the NIH Director’s Transformative Research Award in 2015. Dr. Barker was also the recipient of the American Society for Matrix Biology’s Young Investigator Award in 2012 and Iozzo Award in 2016."
6,Bryan Berger,BME;CHE,"Bryan received his BS in chemical engineering from the University of Illinois at Urbana-Champaign, and his PhD in chemical engineering from the University of Delaware. He was a post-doctoral fellow in the department of biochemistry & biophysics at the University of Pennsylvania School of Medicine. Currently Bryan is professor of chemical engineering with a joint appointment in biomedical engineering."
7,Silvia Blemker,BME;MAE,"Silvia Blemker uses experimental and computational models to characterize the relationships between muscle structure, biomechanical properties, biology, and function in order to develop new treatments for musculoskeletal disease. She did her undergraduate and Master’s work in Biomedical Engineering at Northwestern University, and her PhD in Mechanical Engineering at Stanford University. She is broadly interested in muscle mechanics & physiology, multi-scale modeling, mentoring students, and teaching."
8,Philip Bourne,BME,"Philip E. Bourne leads a range of initiatives to encourage and facilitate the use of big data in large-scale research across the scientific and technological disciplines, with special emphasis on structural bioinformatics and systems pharmacology. He is the Founding Dean of the School of Data Science and Professor of Biomedical Engineering."
9,Steven Caliari,BME;CHE,Steven joined the faculty of the University of Virginia in August 2016 as an Assistant Professor in the Department of Chemical Engineering with a secondary appointment in the Department of Biomedical Engineering. He was promoted to Associate Professor in 2022 and named a SEAS Copenhaver Fellow in 2023. Prior to joining UVA he was an NIH Postdoctoral Fellow in the Department of Bioengineering at the University of Pennsylvania. Steven completed his B.S. in Chemical Engineering at the University of Florida and received both his M.S. and Ph.D. in Chemical Engineering from the University of Illinois at Urbana-Champaign.
10,David Chen,BME,"David Chen is a dynamic leader in academic innovation and entrepreneurship with extensive experience at the intersection of biomedical engineering, business, and translational research. As the founding Managing Director of the Wallace H. Coulter Center for Translational Research at the University of Virginia, he oversees a $34 million endowed center dedicated to translating science from the lab to the marketplace. Under his direction, the center has played a key role in launching over 35 startups, which have collectively raised more than $1.5 billion in funding."
11,George Christ,BME,"Dr. Christ develops basic and translational tissue engineering and regenerative medicine approaches to organ and tissue repair, reconstruction and replacement, with a focus on the musculoskeletal system, vasculature and lower urinary tract. Dr. Christ is an internationally recognized expert in muscle physiology. He is the Past Chairman of the Division of Systems and Integrative Pharmacology of the American Society of Pharmacology and Experimental Therapeutics (ASPET), and Past President of the North Carolina Tissue Engineering and Regenerative Medicine (NCTERM) group. He was inducted into AIMBE in 2017. He currently serves on the Executive Committee of the Division for Integrative Systems, Translational and Clinical Pharmacology of ASPET. He is also on the Editorial Board of five journals and is an ad-hoc reviewer for 2 dozen others."
12,Sepideh Dolatshahi,BME,"Research in the Dolatshahi lab combines multiplex experimental measurements with computational methods (including statistical machine learning, network inference, information theory, signal processing and kinetic-dynamic modeling) to solve problems in the context of cancer, infectious disease and maternal-neonatal immunology."
13,Frederick Epstein,BME,Fred Epstein is recognized for his contributions to the field of cardiac magnetic resonance imaging. He has been a world leader in advancing MRI myocardial strain imaging by developing and applying the cine DENSE (displacement encoding using stimulated echoes) MRI method. He has also made important contributions to accelerated MRI methods and to methods and applications of preclinical MRI in mouse models of heart disease.
14,Mohammad Fallahi-Sichani,BME,"Mohammad Fallahi-Sichani is an Associate Professor of Biomedical Engineering and the Basic Science Lead of the Melanoma Translational Research Team at the UVA Comprehensive Cancer Center. His academic training includes a B.Sc. in Biotechnology from the University of Tehran and M.Sc. and Ph.D. degrees in Chemical Engineering from the University of Michigan, Ann Arbor. He completed his postdoctoral training as a Life Sciences Research Foundation (LSRF) fellow in Systems Biology at Harvard Medical School, where he also earned a Pathway to Independence Award from the National Cancer Institute (NCI). Mohammad joined the faculty at the University of Virginia in 2020."
15,Brent French,BME,"Brent A. French combines advanced methods of targeted drug and gene delivery with biomedical imaging in vivo to explore novel targets and treatment strategies in cardiovascular disease.  Research interests of the Molecular Bioengineering Lab focus on developing new, more effective strategies for treating and preventing human disease. In parallel, we develop novel diagnostic imaging methods to better understand the progression/regression of disease and the impact of novel therapies on specific disease targets. A highly-collaborative, interdisciplinary approach is used to integrate recent technical advances in multiple fields with our highly translational research. In particular, cutting-edge imaging techniques such as MRI, PET and ultrasound are used to expedite research by providing accurate measures of novel therapies against heart attack and heart failure."
16,Donald Griffin,BME;CHE,"Donald Griffin improves clinical translation of acellular and cellular therapies through enhanced hydrogel-tissue integration, specifically focusing on the development of passive and active instructional microenvironments using microscale building blocks. He is an Associate Professor in the Department of Biomedical Engineering at the University of Virginia. After his training in Biomedical Engineering at the University of California, Los Angeles, Don joined the faculty at the University of Virginia in 2017."
17,William Guilford,BME,"My research goal has long been to understand the molecular mechanisms by which cells move. My lab measures the mechanics of these processes at the level of individual molecules using a laser trap - a tool that can capture small translucent particles and hold them in three-dimensional space (see image). The laser trap may also be used to measure the elasticity, distance moved, or force generated by single protein molecules. We have used the laser trap to study the movement of the intracellular pathogen Toxoplasma gondii. My lab was the first to measure the biomechanics and coordination of molecular motors inside a living cell. Past achievements include revealing that the molecular motor myosin is directly regulated by the gaseous signaling molecule nitric oxide, demonstrating that myosin forms ""catch bonds"" with actin - getting stronger the harder you pull - and showing the fundamental limits and biases of single particle tracking algorithms."
18,Brian Helmke,BME,"Brian Helmke researches the relationship between cell mechanics and cell function using new tools in materials science and molecular biology, with a focus on cardiovascular disease."
19,Christopher Highley,BME;CHE,"Christopher Highley develops materials and fabrication technologies to enable the design and construction of complex cellular and material systems, with the goal of addressing fundamental and translational problems in biomedicine. Through the Highley Lab's work in designing, applying, and continuing to advance technology in the realm of biofabrication and tissue engineering we hope to address a range biological, medical, and societal needs from understanding the underpinnings to disease to enabling engineers to build vascularized tissues. We aim to design in vitro models of biological systems and to create implantable therapeutics and biomaterial devices. A central focus of the lab's work is the use and development of biomanufacturing technology, including materials and hardware, to build constructs based on engineering principles."
20,Kevin Janes,BME,Kevin Janes is the John Marshall Money Professor of Biomedical Engineering and a Professor of Biochemistry & Molecular Genetics at the University of Virginia.  He received his B.S. and B.A. degrees in Biomedical Engineering and Spanish at Johns Hopkins University.  He was a Fulbright Scholar at La Universidad de Santiago de Compostela in Spain before attaining his Ph.D. in Bioengineering at M.I.T.  Dr. Janes completed a postdoctoral fellowship at Harvard Medical School in the Department of Cell Biology and began his faculty position at the University of Virginia in 2008.
21,Kimberly Kelly,BME,"Kimberly Kelly uses computational methods and bioinformatics to develop more effective and less toxic cancer drugs through the identification of disease-relevant druggable targets, with a special emphasis on translation to the clinic and commercialization. Dr. Kelly received her Bachelor’s degree in Chemistry from Hamilton College in upstate NY, and her PhD from the University of Utah under the guidance of Dr. David Jones, PhD. Her thesis was using genomics and proteomics-based approaches to develop diagnostic reagents for colon cancer. After obtaining her PhD, Dr. Kelly took a postdoctoral fellowship position at the Center for Molecular Imaging Research at Massachusetts General Hospital (MGH), directed by Ralph Weissleder, under the guidance of Jennifer Allport Anderson. Under Dr. Allport Anderson’s guidance, Kim developed a VCAM-1 targeted imaging agent and was able to monitor VCAM-1 expression in mouse models of atherosclerosis. Further, she described a new interaction between VCAM-1 and SPARC that facilitates efficient leukocyte trafficking. In 2004, she was promoted to instructor of Radiology, and in 2008 to Assistant Professor of Radiology at MGH. In September of 2008, Dr. Kelly joined the Biomedical Engineering faculty at the University of Virginia as an Assistant Professor and has been promoted to Professor with tenure. Dr. Kelly is a member of SNM, the American Pancreatic Association, the AACR and AIMBE. She was named a William Guy Forbeck Scholar in 2005 and awarded an AACR-Pancreatic Cancer Action Network Career Development award in 2007."
22,Kelsey Kubelick,BME,"Kelsey Kubelick leads an interdisciplinary, applications-driven, biomedical imaging research program. Her lab team leverages light, sound, nanoconstruct design, and cellular engineering strategies to develop advanced theranostic imaging techniques, with a particular interest in ultrasound and photoacoustic (PA) technologies."
23,Matthew Lazzara,BME;CHE,"Work in the Lazzara Lab employs a combination of experimental and computational methods to study problems in cell signaling, the complex biochemical process cells use to make decisions. Current projects focus on the rational (model-driven) identification of combination therapies for brain and pancreas cancers and on fundamental studies of the spatiotemporal regulation of cell signaling by phosphatases and receptor trafficking."
24,Craig Meyer,BME,"Craig Meyer develops magnetic resonance imaging (MRI) techniques for rapid acquisition and processing of image data in the setting of cardiovascular disease, neural diseases, and pediatrics, using tools in physics, signal processing, image reconstruction, and machine learning."
25,Kristen Naegle,BME,"Kristen Naegle uses data- and computational-driven approaches to predict, and experimental approaches to test, the regulation and function of tyrosine phosphorylation in complex networks. Tyrosine phosphorylation is a protein modification that can occur during or after translation of a protein.The phosphate addition to a tyrosine residue, regulated by tyrosine kinases and phosphatases, can result in changes in protein function, regulation and localization. It is key to important cell signaling processes, which are the processes that convert extracellular cues, like growth factors and insulin, into biochemical networks that result in a change to the cell.  Tyrosine phosphorylation is specifically utilized in the early events of receptor tyrosine kinase (RTK) networks, which are fundamental to many processes in the development and homeostasis of complex organisms.  Improvements in measurement technologies have enabled the ability to detect and monitor tyrosine phosphorylation and now we know that tyrosine phosphorylation is extensive — occurring on thousands of tyrosines in the human proteome."
26,Jason Papin,BME,"Jason Papin develops computational models of cellular networks and performs high-throughput experiments to characterize biological systems relevant to human disease. After his training in Bioengineering at the University of California, San Diego, Jason Papin joined the faculty at the University of Virginia in 2005. He is now a Professor in the Department of Biomedical Engineering."
