OldTopicID,NewTopicID,Action
71,51,Merged
80,53,Merged
98,45,Merged
110,92,Merged
117,108,Merged
145,136,Merged
170,162,Merged
236,233,Merged
238,221,Merged
239,229,Merged
268,255,Merged
276,221,Merged
288,197,Merged
293,229,Merged
301,229,Merged
314,110,Merged
337,242,Merged
343,318,Merged
345,244,Merged
347,311,Merged
360,313,Merged
361,221,Merged
426,223,Merged
427,242,Merged
428,82,Merged
471,432,Merged
481,432,Merged
497,432,Merged
505,412,Merged
529,394,Merged
569,527,Merged
579,376,Merged
603,318,Merged
689,411,Merged
696,19,Merged
707,452,Merged
730,721,Merged
757,197,Merged
759,169,Merged
760,182,Merged
761,275,Merged
771,173,Merged
784,241,Merged
787,413,Merged
804,118,Merged
808,202,Merged
810,52,Merged
817,204,Merged
818,205,Merged
819,206,Merged
820,207,Merged
821,208,Merged
831,19,Merged
832,310,Merged
833,758,Merged
834,370,Merged
843,244,Merged
854,594,Merged
856,662,Merged
857,585,Merged
868,519,Merged
882,307,Merged
888,172,Merged
894,389,Merged
909,842,Merged
911,847,Merged
913,334,Merged
927,918,Merged
932,51,Merged
936,302,Merged
947,204,Merged
953,29,Merged
960,943,Merged
961,52,Merged
965,91,Merged
966,928,Merged
967,544,Merged
970,134,Merged
973,196,Merged
977,275,Merged
981,863,Merged
982,841,Merged
991,823,Merged
996,304,Merged
998,527,Merged
1001,604,Merged
1004,2,Merged
1007,84,Merged
1018,394,Merged
1020,221,Merged
1028,329,Merged
1035,198,Merged
1037,78,Merged
1040,17,Merged
1041,103,Merged
1042,11,Merged
1045,365,Merged
1051,700,Merged
1053,699,Merged
1054,717,Merged
1055,121,Merged
1059,700,Merged
1062,647,Merged
1066,279,Merged
1072,503,Merged
1080,34,Merged
1082,91,Merged
1084,592,Merged
1085,745,Merged
1087,778,Merged
1090,115,Merged
1092,827,Merged
1093,81,Merged
1097,438,Merged
1099,365,Merged
1101,993,Merged
1102,207,Merged
1106,708,Merged
1111,113,Merged
1112,114,Merged
1121,310,Merged
1122,318,Merged
1135,643,Merged
1148,765,Merged
1153,17,Merged
1159,375,Merged
1166,1043,Merged
1168,799,Merged
1195,586,Merged
1197,921,Merged
1201,104,Merged
1206,346,Merged
1207,348,Merged
1208,1189,Merged
1213,682,Merged
1214,604,Merged
1220,166,Merged
1222,168,Merged
1226,644,Merged
1235,747,Merged
1236,824,Merged
1239,398,Merged
1243,715,Merged
1244,719,Merged
1245,1160,Merged
1250,1155,Merged
1273,105,Merged
1274,549,Merged
1277,1157,Merged
1281,422,Merged
1288,69,Merged
1294,224,Merged
1297,824,Merged
1301,642,Merged
1304,445,Merged
1305,572,Merged
1306,19,Merged
1310,255,Merged
1311,422,Merged
1315,432,Merged
1316,452,Merged
1317,483,Merged
1319,454,Merged
1320,937,Merged
1321,456,Merged
1322,963,Merged
1330,318,Merged
1333,1329,Merged
1,1,Kept
2,2,Kept
3,3,Kept
4,4,Kept
5,5,Kept
6,6,Kept
7,7,Kept
8,8,Kept
9,9,Kept
10,10,Kept
11,11,Kept
12,12,Kept
13,13,Kept
14,14,Kept
15,15,Kept
16,16,Kept
17,17,Kept
18,18,Kept
19,19,Kept
20,20,Kept
21,21,Kept
22,22,Kept
23,23,Kept
24,24,Kept
25,25,Kept
26,26,Kept
27,27,Kept
28,28,Kept
29,29,Kept
30,30,Kept
31,31,Kept
32,32,Kept
33,33,Kept
34,34,Kept
35,35,Kept
36,36,Kept
37,37,Kept
38,38,Kept
39,39,Kept
40,40,Kept
41,41,Kept
42,42,Kept
43,43,Kept
44,44,Kept
45,45,Kept
46,46,Kept
47,47,Kept
48,48,Kept
49,49,Kept
50,50,Kept
51,51,Kept
52,52,Kept
53,53,Kept
54,54,Kept
55,55,Kept
56,56,Kept
57,57,Kept
58,58,Kept
59,59,Kept
60,60,Kept
61,61,Kept
62,62,Kept
63,63,Kept
64,64,Kept
65,65,Kept
66,66,Kept
67,67,Kept
68,68,Kept
69,69,Kept
70,70,Kept
72,72,Kept
73,73,Kept
74,74,Kept
75,75,Kept
76,76,Kept
77,77,Kept
78,78,Kept
79,79,Kept
81,81,Kept
82,82,Kept
83,83,Kept
84,84,Kept
85,85,Kept
86,86,Kept
87,87,Kept
88,88,Kept
89,89,Kept
90,90,Kept
91,91,Kept
92,92,Kept
93,93,Kept
94,94,Kept
95,95,Kept
96,96,Kept
97,97,Kept
99,99,Kept
100,100,Kept
101,101,Kept
102,102,Kept
103,103,Kept
104,104,Kept
105,105,Kept
106,106,Kept
107,107,Kept
108,108,Kept
109,109,Kept
110,110,Kept
111,111,Kept
112,112,Kept
113,113,Kept
114,114,Kept
115,115,Kept
116,116,Kept
118,118,Kept
119,119,Kept
120,120,Kept
121,121,Kept
122,122,Kept
123,123,Kept
124,124,Kept
125,125,Kept
126,126,Kept
127,127,Kept
128,128,Kept
129,129,Kept
130,130,Kept
131,131,Kept
132,132,Kept
133,133,Kept
134,134,Kept
135,135,Kept
136,136,Kept
137,137,Kept
138,138,Kept
139,139,Kept
140,140,Kept
141,141,Kept
142,142,Kept
143,143,Kept
144,144,Kept
146,146,Kept
147,147,Kept
148,148,Kept
149,149,Kept
150,150,Kept
151,151,Kept
152,152,Kept
153,153,Kept
154,154,Kept
155,155,Kept
156,156,Kept
157,157,Kept
158,158,Kept
159,159,Kept
160,160,Kept
161,161,Kept
162,162,Kept
163,163,Kept
164,164,Kept
165,165,Kept
166,166,Kept
167,167,Kept
168,168,Kept
169,169,Kept
171,171,Kept
172,172,Kept
173,173,Kept
174,174,Kept
175,175,Kept
176,176,Kept
177,177,Kept
178,178,Kept
179,179,Kept
180,180,Kept
181,181,Kept
182,182,Kept
183,183,Kept
184,184,Kept
185,185,Kept
186,186,Kept
187,187,Kept
188,188,Kept
189,189,Kept
190,190,Kept
191,191,Kept
192,192,Kept
193,193,Kept
194,194,Kept
195,195,Kept
196,196,Kept
197,197,Kept
198,198,Kept
199,199,Kept
200,200,Kept
201,201,Kept
202,202,Kept
203,203,Kept
204,204,Kept
205,205,Kept
206,206,Kept
207,207,Kept
208,208,Kept
209,209,Kept
210,210,Kept
211,211,Kept
212,212,Kept
213,213,Kept
214,214,Kept
215,215,Kept
216,216,Kept
217,217,Kept
218,218,Kept
219,219,Kept
220,220,Kept
221,221,Kept
222,222,Kept
223,223,Kept
224,224,Kept
225,225,Kept
226,226,Kept
227,227,Kept
228,228,Kept
229,229,Kept
