paperID,topicID,similarity,topicName,paperTitle
2,182,0.6003719271587142,Sustainability,Walking the walk: Conceptual foundations of the Sustainable Personality
4,1309,0.6546585103080064,Engineering Education Research,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review"
4,19,0.6385671256126956,Engineering Education,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review"
4,645,0.6307039934046814,Engineering Curriculum Design,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review"
4,1240,0.6143033142577061,Engineering Pedagogy,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review"
4,487,0.602292461877204,Broadening Engagement In Engineering Education Building Self-efficacy For Success In Engineering Education,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review"
6,1309,0.6782967816561812,Engineering Education Research,"Educating the Whole Engineer at Wake Forest Engineering: Using Cognitive Apprenticeship as an Effective Pedagogical Approach to Cultivate Design Learning, Team Effectiveness …"
6,19,0.6618391933818385,Engineering Education,"Educating the Whole Engineer at Wake Forest Engineering: Using Cognitive Apprenticeship as an Effective Pedagogical Approach to Cultivate Design Learning, Team Effectiveness …"
6,504,0.6316341354621516,Ai Integration In Engineering Education,"Educating the Whole Engineer at Wake Forest Engineering: Using Cognitive Apprenticeship as an Effective Pedagogical Approach to Cultivate Design Learning, Team Effectiveness …"
6,1240,0.6313490984783758,Engineering Pedagogy,"Educating the Whole Engineer at Wake Forest Engineering: Using Cognitive Apprenticeship as an Effective Pedagogical Approach to Cultivate Design Learning, Team Effectiveness …"
8,479,0.833891162655414,"""Engineering Ethics Education Cultivating Character Strengths In Engineering Education",Scoping review of character development pedagogies in engineering education
8,452,0.6461520848102648,Engineering Ethics,Scoping review of character development pedagogies in engineering education
8,1240,0.6010358756110479,Engineering Pedagogy,Scoping review of character development pedagogies in engineering education
12,566,0.6385099699606851,Thermal Properties Of Ceramics,UHTCs: ultra-high temperature ceramic materials for extreme environment applications
12,559,0.6037273873350907,High Temperature Materials Design,UHTCs: ultra-high temperature ceramic materials for extreme environment applications
40,472,0.6111509108221689,Ethics And Information Technology,Ethical Challenges of the Internet of Things
54,393,0.604547724801651,Nanoelectronics And 2-d Materials,"2D materials advances: from large scale synthesis and controlled heterostructures to improved characterization techniques, defects and applications"
61,769,0.63309475194681,Building Energy Performance,On the development of multi-linear regression analysis to assess energy consumption in the early stages of building design
70,291,0.6098104470851854,Computing Education,The robots are here: Navigating the generative ai revolution in computing education
74,776,0.610544994849,Metacognitive Awareness,First things first: Providing metacognitive scaffolding for interpreting problem prompts
75,773,0.6793620149211315,Genai In Cs Courses,GenAI Integration in Upper-Level Computing Courses
78,291,0.6253333240216508,Computing Education,"All for One and One for All-Collaboration in Computing Education: Policy, Practice, and Professional Dispositions"
90,781,0.6726415562333703,Adaptive Control,Adaptive control design and analysis
92,588,0.617095484592772,Real-time Production Control,"Feedback control real-time scheduling: Framework, modeling, and algorithms"
103,58,0.6521376324539655,Tissue Engineering And Biomaterials,Photopolymerizable hydrogels for tissue engineering applications
103,1006,0.6365324981537739,Hydrogels,Photopolymerizable hydrogels for tissue engineering applications
133,929,0.6380484348754905,Shape Memory Alloys,Micromechanical modelling of the effect of plastic deformation on the mechanical behaviour in pseudoelastic shape memory alloys
150,945,0.7138951641455679,Engineering Sustainability,A review of engineering research in sustainable manufacturing
222,2,0.8338923939078261,Biomaterials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,96,0.8308807319636655,Biomaterials Science,Biomaterials: Graduate Student Award Session (Invited Talks)
222,1086,0.7231008911299559,Polymeric Biomaterials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,99,0.7145082989517483,Biomaterials And Biofunctional Materials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,59,0.7088132502978791,Novel Biomaterial Development,Biomaterials: Graduate Student Award Session (Invited Talks)
222,58,0.699260599081666,Tissue Engineering And Biomaterials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,43,0.68711830815673,Engineered Soft Biomaterials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,10005,0.6596861659052431,3.4.4 Biomaterials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,652,0.6580351805417566,Biological And Bio-inspired Materials And Devices,Biomaterials: Graduate Student Award Session (Invited Talks)
222,10303,0.6433494020682218,1.3.3 Biomaterials,Biomaterials: Graduate Student Award Session (Invited Talks)
222,36,0.6023987227798211,Materials And Advanced Manufacturing For Biological Applications,Biomaterials: Graduate Student Award Session (Invited Talks)
223,148,0.7376873512624328,Peptide Self-assembly,Impact of L-and D-Peptide Isomer Mixtures on Self-Assembly in Tissue Engineering: A Molecular Dynami
