paperID,paper_summary
1,"The Sustainable Personality: Values and Behaviors in Individual Sustainability; This research investigates how an interactive website providing multisource personality feedback creates cognitive dissonance to motivate students to align their day-to-day behaviors with their stated sustainability values, thereby fostering individual change."
2,"Walking the walk: Conceptual foundations of the Sustainable Personality; This paper introduces the concept of a ""Sustainable Personality,"" arguing that global sustainability problems stem from individual limitations and that meaningful change begins by empowering individuals to align their behaviors with their values."
3,"The affective regulation of social interaction; This paper outlines the key ideas of Affect Control Theory, which posits that social behavior is regulated to maintain affective meanings compatible with situational identities, and relates these concepts to the Affect-as-Information hypothesis."
4,"Creative thinking, creative problem solving, and inventive design in the engineering curriculum: A review; This paper reviews innovative, multi-disciplinary educational methodologies from premier engineering schools that are successfully equipping students with advanced creative and cognitive abilities required for contemporary professional practice."
5,"An evaluation of freshman engineering persistence using expectancy-value theory; This paper utilizes Expectancy-Value Theory to understand the factors influencing freshman engineering students' persistence towards degree completion, addressing the critical issue of retaining students in STEM fields to meet future professional demands."
6,"Educating the Whole Engineer at Wake Forest Engineering: Using Cognitive Apprenticeship as an Effective Pedagogical Approach to Cultivate Design Learning, Team Effectiveness …; This paper discusses Wake Forest Engineering's mission to ""Educate the Whole Engineer"" by recognizing and integrating both technical and non-technical domains of learning to prepare graduates for making a positive societal impact."
7,"Social emotional learning in STEM higher education; This chapter provides an overview of social emotional learning (SEL) in STEM higher education, discussing its motivating factors, existing gaps, and promising models that use specific teaching strategies and extracurricular activities to develop key competencies."
8,"Scoping review of character development pedagogies in engineering education; This paper proposes a character-focused approach to engineering ethics education to address common challenges like student disinterest and faculty resistance by providing accessible language and tools for engaging with complex global, social, and ethical issues."
9,"Operationalizing Team Effectiveness with Evidence-based Practice; This paper discusses how Wake Forest Engineering's capstone program uses an integrative, evidence-based practice approach, drawing on tools from diverse fields to enhance team effectiveness and provide a model for other instructional teams."
10,Engineering Education Meets Organizational Science: Toward Best Practices for Strategic Change; This paper explores how implementing best practices from organizational science can strengthen strategic change initiatives and overcome cultural resistance in engineering education to achieve long-standing goals like diversity and closing the research-to-practice gap.
11,"Evaluation of ultra-high temperature ceramics foraeropropulsion use; This study examines the strength, fracture toughness, and oxidation of ultra-high temperature ceramics under high-pressure propulsion environments, revealing that their poor oxidation resistance is a key limiting factor for such applications."
12,"UHTCs: ultra-high temperature ceramic materials for extreme environment applications; This article explains that the high thermal conductivity of boride-based ultra-high temperature ceramics allows them to rapidly transmit heat, thereby reducing thermal stress gradients and preventing failure in components like nozzles subjected to rapid heating."
13,"Paralinear oxidation of CVD SiC in water vapor; This study observed paralinear weight change kinetics in chemically vapor deposited SiC oxidized in a water vapor/oxygen mixture, indicating that the long-term degradation rate is determined by the volatility of the resulting silica scale."
14,"Variation of the oxidation rate of silicon carbide with water‐vapor pressure; This study finds that the oxidation kinetics of chemically vapor deposited silicon carbide in H2O/O2 gas mixtures increase with water-vapor content, with rates approximately an order of magnitude higher than in dry oxygen."
15,"SiC Recession Caused by SiO2 Scale Volatility under Combustion Conditions: II, Thermodynamics and Gaseous‐Diffusion Model; This study identifies the probable vapor species responsible for the volatilization of SiO2 in both fuel-lean and fuel-rich combustion environments by comparing calculated fluxes with measured volatilization rates on SiC."
16,"Experimental investigation of fifth oxide effects on calcium–magnesium–aluminosilicate glass properties; This study investigates how various oxide additions affect the properties of molten calcium-magnesium-aluminosilicate (CMAS) glasses, elucidating relationships between cation size, glass structure, viscosity, and thermal expansion."
17,"Mechanisms of rare‐earth monosilicate reaction with calcium–magnesium aluminosilicate; This research investigates the reaction mechanisms between calcium-magnesium aluminosilicate (CMAS) and various single-cation rare-earth monosilicates, finding that reaction morphologies are governed by the competition between dissolution and apatite precipitation rates."
18,Oxygen tracer diffusion in yttrium silicates; This study determines the oxygen diffusion and surface exchange coefficients for polycrystalline yttrium silicate environmental barrier coating materials (Y2Si2O7 and Y2SiO5) at high temperatures using an oxygen tracer diffusion technique.
19,"Oxidation Behavior of Tantalum in High Temperature Molecular and Dissociated Oxygen; This study investigates the oxidation of Tantalum in both molecular and partially-dissociated atomic oxygen environments at high temperatures, revealing that atomic oxygen significantly increases the extent of oxidation due to a highly cracked, non-protective oxide layer."
20,"Ab initio stability predictions for rare earth oxyphosphates and experimental confirmation of cerium (III) phases; Using DFT computations, this study models the stability of rare earth oxyphosphate compounds (RE3PO7) relative to their constituent oxides and orthophosphates, predicting stability for La-Dy and identifying a structural phase change starting with Sm."
21,"Mental Health and Behavior of College Students During the Early Phases of the COVID-19 Pandemic: Longitudinal Smartphone and Ecological Momentary Assessment Study; By combining mobile phone sensing with self-reported data from a longitudinal study of college students, this research quantifies the significant changes in behavior and mental health that occurred in response to the COVID-19 pandemic."
22,"Differentiating higher and lower job performers in the workplace using mobile sensing; This study uses objective mobile sensing data from phones, wearables, and beacons to identify behavioral patterns that distinguish higher and lower workplace performers, demonstrating the potential for passive, objective assessment with a classifier achieving an AUROC of 0.83."
23,GLOBEM: Cross-Dataset Generalization of Longitudinal Human Behavior Modeling; This paper presents the first evaluation of cross-dataset generalizability for depression detection models by re-implementing and testing nine prior algorithms on four distinct longitudinal mobile sensing datasets collected from different populations over two years.
24,"Mental Health and Behavior of College Students During the COVID-19 Pandemic: Longitudinal Mobile Smartphone and Ecological Momentary Assessment Study, Part II; This longitudinal study combines mobile phone sensing and self-reported data to analyze the behavioral and mental health impacts of the COVID-19 pandemic on college students, comparing data from Spring 2020 to previous terms."
25,"Social Sensing: Assessing Social Functioning of Patients Living with Schizophrenia using Mobile Phone Sensing; This study explores the use of objective mobile sensing data from outpatients with schizophrenia to passively assess social functioning, identifying behavioral patterns and correlations that accurately predict sub-scales like prosocial activities and interpersonal behavior."
